congruency,distractor_match,memory_precision,search_correct,search_rt,subject_nr,target_match
1,0,97.9738562092,1,814.167313894,0,1
0,1,93.137254902,1,2802.24736941,0,0
1,0,90.522875817,1,1740.82142541,0,1
1,1,94.7712418301,1,2336.57143047,0,1
0,1,96.7320261438,1,2010.56672938,0,0
0,0,92.6797385621,1,1458.1319836,0,1
0,0,91.4379084967,1,746.025402289,0,1
1,0,62.6797385621,1,2313.01800172,0,0
0,1,95.8169934641,1,2321.09322152,0,1
1,0,93.0065359477,1,973.711162983,0,0
1,1,57.1895424837,1,2376.2260965,0,0
0,0,97.0588235294,1,1153.3688053,0,0
0,0,97.0588235294,0,1850.08863966,0,0
1,0,94.3137254902,1,865.679742313,0,0
0,1,90.9150326797,1,1755.87311352,0,1
1,1,97.5163398693,1,1099.04641048,0,1
0,1,96.1437908497,1,1655.53506632,0,0
0,0,95.0980392157,1,1353.50880556,0,0
0,1,96.0130718954,1,1113.02440104,0,1
0,1,96.339869281,1,1505.28291191,0,0
0,0,97.3202614379,1,709.657029549,0,1
1,0,81.8300653595,1,1391.44652144,0,1
1,0,94.3137254902,1,971.060274066,0,0
0,1,94.5098039216,1,1203.93250406,0,1
1,0,92.5490196078,1,914.3677153,0,1
1,1,95.8169934641,1,2629.9903014,0,0
1,1,88.5620915033,1,879.121035024,0,1
0,0,89.4117647059,1,2029.43808822,0,1
0,0,90,1,1517.8974243,0,0
1,1,96.4705882353,1,2002.2669296,0,1
1,1,97.3202614379,0,1049.8507177,0,0
1,1,77.1241830065,1,1474.82696928,0,0
0,1,92.4836601307,0,2616.7406865,0,1
1,0,90,1,798.93753145,0,1
0,1,93.8562091503,1,1233.42552985,0,1
1,1,97.7124183007,1,1440.35816884,0,0
1,1,94.4444444444,1,1327.11945089,0,1
0,0,87.8431372549,1,1752.99100382,0,0
1,1,97.908496732,1,1123.35870222,0,0
0,0,93.4640522876,1,780.860956319,0,1
0,1,93.660130719,1,1812.63781559,0,1
0,0,92.4183006536,1,771.509494391,0,1
1,0,98.6928104575,1,924.556824318,0,0
0,1,93.3333333333,1,707.348443984,0,1
1,1,97.1241830065,1,699.399097635,0,1
1,0,93.3333333333,1,964.428825806,0,0
1,0,90.3267973856,1,761.131424263,0,0
0,0,96.339869281,1,805.645047121,0,0
1,0,92.8104575163,1,980.499273888,0,1
1,1,95.8169934641,1,738.26622447,0,1
0,0,93.0065359477,1,1061.38489174,0,1
0,1,95.2287581699,1,1126.20036337,0,0
1,0,98.431372549,1,818.507382312,0,1
1,1,53.9869281046,1,1595.04457037,0,0
1,0,90.1307189542,1,1058.84659467,0,1
0,1,93.8562091503,1,1645.68161985,0,0
0,0,94.6405228758,1,1263.81144217,0,0
0,0,95.8169934641,1,1598.64267967,0,1
1,1,87.1895424837,1,825.849396788,0,0
1,1,98.4967320261,1,742.389259282,0,1
0,1,92.8758169935,1,1153.96617596,0,0
1,0,93.0065359477,1,894.690705981,0,0
0,0,95.9477124183,1,912.610618467,0,0
0,1,93.0065359477,1,1537.58348927,0,0
0,0,67.2549019608,1,715.202706068,0,1
0,0,91.7647058824,1,805.34802199,0,1
1,0,89.8692810458,1,826.96656143,0,1
0,1,92.091503268,1,1697.37848156,0,0
1,1,90.6535947712,1,1019.7826585,0,1
1,0,94.4444444444,1,675.395603364,0,0
1,0,77.7124183007,1,786.439535011,0,1
0,1,95.4901960784,1,1570.78751806,0,0
0,1,99.0196078431,1,881.330008504,0,1
0,0,87.1241830065,1,749.021914961,0,1
0,0,96.862745098,1,721.804270702,0,0
1,1,84.7058823529,1,1037.6156368,0,1
1,1,93.4640522876,1,860.502328659,0,1
0,0,88.431372549,1,831.753374963,0,0
0,1,96.2091503268,1,787.602279728,0,0
1,1,83.8562091503,1,840.66775113,0,1
0,0,92.0261437908,1,655.874954835,0,1
1,0,92.2875816993,1,1664.86509656,0,0
1,1,87.8431372549,1,1424.04714248,0,0
1,0,95.6862745098,1,908.625229447,0,1
0,1,97.9738562092,1,1066.5121975,0,1
1,1,91.1764705882,1,956.790691764,0,0
0,0,93.2026143791,1,805.172040638,0,0
0,1,90.7843137255,1,991.031591822,0,1
1,0,95.3594771242,1,1416.1086629,0,0
1,0,95.9477124183,1,936.532611941,0,1
0,0,92.8104575163,1,1088.89744815,0,0
1,0,90.7843137255,1,1631.46788069,0,0
0,1,93.2026143791,1,1343.02840665,0,1
1,1,92.4836601307,1,1187.31901918,0,0
0,1,94.4444444444,1,1199.64224168,0,0
1,1,85.7516339869,1,1346.02823972,0,0
0,1,96.6013071895,1,1264.21924801,0,1
1,1,97.3202614379,1,639.49540743,0,1
1,1,90,1,995.833498096,0,1
1,1,96.6666666667,1,948.39520401,0,0
0,1,97.0588235294,1,1289.99855412,0,0
1,0,78.6274509804,1,1372.03363508,0,0
1,1,88.6274509804,1,725.907081242,0,0
0,1,91.6339869281,1,1069.67231548,0,1
0,0,82.8104575163,1,797.14421204,0,1
1,1,93.7908496732,1,873.323007887,0,0
0,0,96.1437908497,1,661.774103333,0,0
1,1,94.3137254902,1,774.566981733,0,0
0,0,85.8169934641,1,770.891295745,0,0
0,1,95.0326797386,1,718.133112537,0,0
1,0,58.6928104575,1,742.275158165,0,1
1,1,96.6666666667,0,2000.0220354,0,1
0,0,94.9673202614,1,1025.68422184,0,0
0,0,93.3986928105,1,758.370962051,0,0
0,1,98.8235294118,1,1188.55662389,0,0
1,0,91.7647058824,1,721.180336816,0,1
1,0,75.0326797386,1,777.027702121,0,0
0,1,96.6666666667,1,911.424932785,0,0
0,0,94.6405228758,1,1060.62421763,0,1
0,1,86.0130718954,1,996.327030706,0,1
1,0,85.3594771242,1,944.318051129,0,0
1,1,97.7124183007,1,1071.80642896,0,1
0,1,91.6339869281,1,1033.90523751,0,1
0,0,95.9477124183,1,781.809987832,0,1
0,0,93.0718954248,1,844.505533149,0,1
1,0,94.8366013072,1,818.096859775,0,0
1,0,95.6209150327,1,1307.13666265,0,1
1,0,98.1699346405,1,840.263567544,0,1
0,1,96.339869281,1,1637.81649099,0,0
0,0,97.9738562092,1,1293.60270051,0,0
1,0,95.8169934641,1,846.999759422,0,1
1,1,84.8366013072,1,898.38027729,0,0
1,1,98.0392156863,1,1021.11504562,0,1
0,1,99.0196078431,1,1561.68387893,0,0
1,0,94.9019607843,1,814.442907333,0,0
1,1,96.5359477124,1,1153.14875314,0,0
1,0,86.862745098,1,1582.54959248,0,0
1,1,67.5163398693,1,1185.80551917,0,0
0,1,91.1764705882,1,1587.33731158,0,1
1,1,98.6274509804,1,702.582156578,0,1
1,0,94.8366013072,1,1192.0991919,0,0
0,0,97.3202614379,1,760.365316762,0,1
0,0,99.2810457516,1,577.223364407,0,1
0,1,91.3071895425,1,941.286221445,0,0
0,1,99.1503267974,1,1618.72326887,0,1
1,0,95.4901960784,1,813.645406932,0,1
1,0,97.0588235294,1,655.698067918,0,1
0,0,97.1241830065,1,983.830241686,0,1
0,0,96.1437908497,1,724.984009242,0,1
0,1,98.3660130719,1,958.515490132,0,1
0,1,92.6797385621,1,1149.29406726,0,0
0,0,90.9803921569,1,1288.77815513,0,0
1,1,97.908496732,1,1803.46324057,0,0
0,0,89.8039215686,1,922.306194876,0,0
0,1,94.7058823529,1,773.502037973,0,1
1,1,96.9934640523,1,786.186882537,0,1
1,0,96.2745098039,1,1457.29433651,0,1
1,1,98.4967320261,1,730.495576167,0,1
1,0,97.1895424837,1,1632.13860207,0,0
0,0,84.5751633987,1,653.925878345,0,0
1,0,96.4052287582,1,732.057071085,0,1
1,1,88.1045751634,1,1182.84794577,0,0
1,1,97.9738562092,1,1002.58055675,0,1
1,0,98.6274509804,1,663.181652299,0,1
1,0,99.6732026144,1,588.138736091,0,0
1,0,83.7254901961,1,773.917993897,0,0
0,0,97.8431372549,1,778.459701327,0,1
0,1,92.6797385621,1,890.411008524,0,1
0,0,91.5032679739,1,927.236691297,0,0
1,1,93.660130719,1,1112.79982106,0,0
0,0,88.954248366,1,552.193563791,0,1
1,1,97.3202614379,1,1186.15235035,0,1
1,1,97.5163398693,1,848.878805597,0,1
0,1,92.614379085,1,749.299017674,0,1
1,1,77.6470588235,1,2195.64296734,0,0
0,1,88.1699346405,1,1351.70854349,0,0
1,1,92.9411764706,1,1014.84612498,0,0
0,1,89.8692810458,1,1137.47524413,0,1
0,0,93.2679738562,1,1149.82623728,0,1
0,1,97.7777777778,1,1531.7208652,0,0
0,1,96.862745098,0,932.051879182,0,1
1,1,96.9281045752,1,679.587461072,0,1
0,1,91.1764705882,1,1148.33628195,0,0
0,0,96.9934640523,1,1137.34997439,0,0
0,0,91.045751634,1,717.194645941,0,1
